x,truth,SR (ours),polynomial,random_forest,mlp
-8.0,10.357432986493528,10.35743298649353,-153.7177428562686,-0.03468588274525353,0.1774763920543857
-7.979974968710889,10.326360236342818,10.32636023634282,-149.09206018413462,-0.03468588274525353,0.17570210618116355
-7.9599499374217775,10.29373004310986,10.293730043109862,-144.58030224047602,-0.03468588274525353,0.17392782030793963
-7.939924906132666,10.259550667135272,10.259550667135274,-140.18022004723477,-0.03468588274525353,0.17215353443471637
-7.919899874843554,10.223831039129923,10.223831039129925,-135.8895993086247,-0.03468588274525353,0.17037924856149222
-7.899874843554443,10.186580753388927,10.186580753388931,-131.70626000778807,-0.03468588274525353,0.1686049626882692
-7.8798498122653315,10.147810060734026,10.147810060734027,-127.62805600678844,-0.03468588274525353,0.16683067681504704
-7.85982478097622,10.10752986118845,10.107529861188452,-123.65287464992663,-0.03468588274525353,0.16505639094182312
-7.839799749687109,10.065751696388517,10.065751696388519,-119.77863637035746,-0.03468588274525353,0.1632821050685992
-7.819774718397998,10.022487741736274,10.022487741736278,-116.00329429999233,-0.03468588274525353,0.1615078191953766
-7.7997496871088865,9.977750798297627,9.977750798297631,-112.32483388266878,-0.03468588274525353,0.15973353332215356
-7.779724655819774,9.931554284450504,9.931554284450506,-108.74127249057183,-0.03468588274525353,0.15795924744892742
-7.759699624530663,9.883912227287698,9.8839122272877,-105.25065904388698,-0.03468588274525353,0.15618496157570616
-7.739674593241552,9.834839253779094,9.834839253779096,-101.85107363366872,-0.03468588274525353,0.15441067570248246
-7.719649561952441,9.78435058169816,9.784350581698163,-98.54062714790844,-0.03468588274525353,0.15263638982926186
-7.699624530663329,9.732462010317587,9.732462010317589,-95.3174609007831,-0.03468588274525353,0.15086210395603328
-7.679599499374218,9.679189910879114,9.679189910879115,-92.17974626506755,-0.03468588274525353,0.1490878180828129
-7.659574468085107,9.624551216842637,9.624551216842637,-89.12568430769404,-0.03468588274525353,0.1473135322095881
-7.639549436795995,9.568563413919769,9.568563413919769,-86.15350542844114,-0.03468588274525353,0.14553924633636728
-7.619524405506883,9.511244529897183,9.511244529897183,-83.26146900173588,-0.03468588274525353,0.14376496046314313
-7.599499374217772,9.452613124254988,9.45261312425499,-80.44786302155065,-0.03468588274525353,0.14199067458991854
-7.579474342928661,9.392688277585666,9.39268827758567,-77.71100374938017,-0.03468588274525353,0.1402163887166964
-7.55944931163955,9.331489580819005,9.331489580819007,-75.0492353652789,-0.03468588274525353,0.13844210284347314
-7.539424280350438,9.269037124258627,9.26903712425863,-72.4609296219448,-0.03468588274525353,0.13666781697024855
-7.519399249061326,9.205351486435756,9.20535148643576,-69.94448550182933,-0.03468588274525353,0.13489353109702462
-7.499374217772215,9.140453722785931,9.140453722785933,-67.49832887726156,-0.03468588274525353,0.13311924522380247
-7.479349186483104,9.074365354154414,9.074365354154416,-65.12091217356364,-0.03468588274525353,0.13134495935057944
-7.459324155193992,9.007108355136165,9.007108355136165,-62.810714035146724,-0.03468588274525353,0.1295706734773564
-7.439299123904881,8.938705142256246,8.938705142256248,-60.566238994567264,-0.03468588274525353,0.12779638760413226
-7.41927409261577,8.869178561996625,8.869178561996627,-58.38601714452792,-0.03468588274525353,0.12602210173091055
-7.399249061326659,8.798551878675328,8.79855187867533,-56.26860381280604,-0.03468588274525353,0.12424781585768661
-7.3792240300375465,8.726848762184055,8.726848762184055,-54.21257924009486,-0.03468588274525353,0.12247352998446225
-7.359198998748435,8.654093275590306,8.654093275590307,-52.216548260740204,-0.03468588274525353,0.12069924411123877
-7.339173967459324,8.580309862610152,8.580309862610154,-50.27913998635315,-0.03468588274525353,0.11892495823801595
-7.319148936170213,8.505523334957863,8.505523334957864,-48.39900749228823,-0.03468588274525353,0.11715067236479225
-7.299123904881101,8.429758859578577,8.429758859578579,-46.574827506965924,-0.03468588274525353,0.11537638649156877
-7.27909887359199,8.353041945770276,8.353041945770277,-44.805300104025,-0.03468588274525353,0.11360210061834573
-7.259073842302879,8.275398432201335,8.275398432201335,-43.08914839728893,-0.03468588274525353,0.1118278147451227
-7.239048811013767,8.19685447382997,8.19685447382997,-41.42511823852859,-0.03468588274525353,0.11005352887189944
-7.2190237797246555,8.117436528731924,8.117436528731925,-39.81197791800704,-0.03468588274525353,0.10827924299867485
-7.198998748435544,8.037171344842715,8.037171344842717,-38.24851786778904,-0.03468588274525353,0.10650495712545248
-7.178973717146433,7.95608594662087,7.956085946620871,-36.73355036779824,-0.03468588274525353,0.10473067125222967
-7.158948685857322,7.874207621638503,7.874207621638504,-35.265909254609674,-0.03468588274525353,0.10295638537900596
-7.13892365456821,7.791563907105681,7.791563907105682,-33.84444963295683,-0.03468588274525353,0.10118209950578315
-7.118898623279099,7.708182576334954,7.708182576334956,-32.46804758994093,-0.03468588274525353,0.099407813632559
-7.098873591989987,7.624091625152516,7.624091625152518,-31.135599911925105,-0.03468588274525353,0.09763352775933552
-7.078848560700876,7.539319258262422,7.539319258262423,-29.846023804097534,-0.03468588274525353,0.09585924188611115
-7.0588235294117645,7.4538938755702455,7.453893875570246,-28.598256612688367,-0.03468588274525353,0.09408495601288878
-7.038798498122653,7.367844058472706,7.367844058472707,-27.39125554982413,-0.03468588274525353,0.09231067013966553
-7.018773466833542,7.281198556119596,7.281198556119598,-26.223997421003723,-0.03468588274525353,0.09053638426644316
-6.998748435544431,7.193986271654499,7.1939862716545,-25.095478355181648,-0.03468588274525353,0.08876209839321923
-6.9787234042553195,7.10623624844067,7.10623624844067,-24.004713537440885,-0.03468588274525353,0.08698781251999486
-6.958698372966207,7.017977656278495,7.017977656278495,-22.950736944241577,-0.03468588274525353,0.08521352664677294
-6.938673341677096,6.929239777620934,6.929239777620936,-21.932601081229187,-0.03468588274525353,0.08343924077354857
-6.918648310387985,6.840051993793242,6.840051993793243,-20.94937672358582,-0.03468588274525353,0.0816649549003262
-6.8986232790988735,6.750443771223395,6.750443771223395,-20.000152658911553,-0.03468588274525353,0.07989066902710183
-6.878598247809762,6.660444647689494,6.660444647689495,-19.084035432618144,-0.03468588274525353,0.07811638315387902
-6.858573216520651,6.570084218590439,6.57008421859044,-18.20014909582064,-0.03468588274525353,0.0762597274854334
-6.83854818523154,6.479392123246146,6.479392123246148,-17.34763495571149,-0.03468588274525353,0.07426069537771972
-6.818523153942428,6.388398031233533,6.388398031233534,-16.52565132840251,-0.03468588274525353,0.07226166327000559
-6.798498122653316,6.2971316287644665,6.297131628764467,-15.733373294218202,-0.03468588274525353,0.07026263116229146
-6.778473091364205,6.2056226051118095,6.20562260511181,-14.969992455425816,-0.03468588274525353,0.068263599054578
-6.758448060075094,6.113900639089708,6.113900639089708,-14.234716696388366,-0.03468588274525353,0.06626456694686432
-6.7384230287859825,6.021995385594169,6.0219953855941695,-13.526769946122888,-0.03468588274525353,0.06426553483914864
-6.718397997496871,5.929936462209956,5.929936462209957,-12.845391943250908,-0.03468588274525353,0.062266502731436066
-6.69837296620776,5.837753435889769,5.83775343588977,-12.189838003325567,-0.03468588274525353,0.06026747062372216
-6.678347934918648,5.745475809711636,5.745475809711637,-11.559378788520197,-0.03468588274525353,0.05826843851600892
-6.658322903629537,5.653133009720397,5.653133009720398,-10.953300079663924,-0.03468588274525353,0.05626940640829413
-6.638297872340425,5.560754371859041,5.560754371859041,-10.37090255060851,-0.03468588274525353,0.05427037430058067
-6.618272841051314,5.468369128995701,5.468369128995701,-9.811501544912934,-0.03468588274525353,0.05245514609246303
-6.598247809762203,5.376006398051971,5.376006398051972,-9.274426854829803,-0.03468588274525353,0.05076193914026837
-6.578222778473092,5.28369516723816,5.283695167238161,-8.759022502579247,-0.03468588274525353,0.049068732188075045
-6.55819774718398,5.191464283401041,5.191464283401041,-8.26464652389611,-0.03468588274525353,0.04737552523587994
-6.538172715894868,5.09934243948959,5.0993424394895905,-7.790670753834568,-0.03468588274525353,0.045682318283685505
-6.518147684605757,5.007358162144146,5.007358162144146,-7.336480614817154,-0.03468588274525353,0.0439891113314924
-6.498122653316646,4.915539799414255,4.915539799414255,-6.9014749069120915,-0.03468588274525353,0.04229590437929841
-6.478097622027534,4.823915508610569,4.82391550861057,-6.485065600325519,-0.03468588274525353,0.040602697427103304
-6.458072590738423,4.732513244295913,4.732513244295913,-6.086677630093852,-0.03468588274525353,0.03890949047490998
-6.438047559449312,4.641360746420627,4.641360746420627,-5.705748692961172,-0.03468588274525353,0.03721628352271576
-6.418022528160201,4.550485528607242,4.550485528607242,-5.3417290464287595,-0.03468588274525353,0.03552307657052199
-6.397997496871088,4.459914866589375,4.459914866589375,-4.994081309960584,-0.03468588274525353,0.033829869618328665
-6.377972465581977,4.369675786809757,4.369675786809757,-4.662280268332117,-0.03468588274525353,0.03213666266613423
-6.357947434292866,4.279795055182052,4.279795055182053,-4.34581267710714,-0.03468588274525353,0.030443455713938458
-6.337922403003755,4.190299166021254,4.190299166021254,-4.044177070228833,-0.03468588274525353,0.028750248761745353
-6.317897371714643,4.101214331147137,4.101214331147137,-3.756883569710857,-0.03468588274525353,0.027057041809550916
-6.297872340425532,4.012566469165291,4.012566469165291,-3.4834536974142254,-0.03468588274525353,0.02536383485735781
-6.277847309136421,3.9243811949301124,3.9243811949301124,-3.2234201888962617,-0.03468588274525353,0.023670627905164263
-6.257822277847309,3.8366838091940174,3.8366838091940174,-2.9763268093169644,-0.03468588274525353,0.02197742095296916
